arr,label,cn_label,value
[0 0 0 ... 0 0 0],10,九,9
[0 0 0 ... 0 0 0],11,十,10
[0 0 0 ... 0 0 0],12,百,100
[0 0 0 ... 0 0 0],13,千,1000
[0 0 0 ... 0 0 0],14,万,10000
[0 0 0 ... 0 0 0],15,亿,100000000
[0 0 0 ... 0 0 0],2,一,1
[0 0 0 ... 0 0 0],3,二,2
[0 0 0 ... 0 0 0],4,三,3
[0 0 0 ... 0 0 0],5,四,4
[0 0 0 ... 0 0 0],6,五,5
[0 0 0 ... 0 0 0],7,六,6
[0 0 0 ... 0 0 0],8,七,7
[0 0 0 ... 0 0 0],9,八,8
[0 0 0 ... 0 0 0],1,零,0
[0 0 0 ... 0 0 0],10,九,9
[0 0 0 ... 0 0 0],11,十,10
[0 0 0 ... 0 0 0],12,百,100
[0 0 0 ... 0 0 0],13,千,1000
[0 0 0 ... 0 0 0],14,万,10000
[0 0 0 ... 0 0 0],15,亿,100000000
[0 0 0 ... 0 0 0],2,一,1
[0 0 0 ... 0 0 0],3,二,2
[0 0 0 ... 0 0 0],4,三,3
[0 0 0 ... 0 0 0],5,四,4
[0 0 0 ... 0 0 0],6,五,5
[0 0 0 ... 0 0 0],7,六,6
[0 0 0 ... 0 0 0],8,七,7
[0 0 0 ... 0 0 0],9,八,8
[0 0 0 ... 0 0 0],1,零,0
[0 0 0 ... 0 0 0],10,九,9
[0 0 0 ... 0 0 0],11,十,10
[0 0 0 ... 0 0 0],12,百,100
[0 0 0 ... 0 0 0],13,千,1000
[0 0 0 ... 0 0 0],14,万,10000
[0 0 0 ... 0 0 0],15,亿,100000000
[0 0 0 ... 0 0 0],2,一,1
[0 0 0 ... 0 0 0],3,二,2
[0 0 0 ... 0 0 0],4,三,3
[0 0 0 ... 0 0 0],5,四,4
[0 0 0 ... 0 0 0],6,五,5
[0 0 0 ... 0 0 0],7,六,6
[0 0 0 ... 0 0 0],8,七,7
[0 0 0 ... 0 0 0],9,八,8
[0 0 0 ... 0 0 0],1,零,0
[0 0 0 ... 0 0 0],10,九,9
[0 0 0 ... 0 0 0],11,十,10
[0 0 0 ... 0 0 0],12,百,100
[0 0 0 ... 0 0 0],13,千,1000
[0 0 0 ... 0 0 0],14,万,10000
[0 0 0 ... 0 0 0],15,亿,100000000
[0 0 0 ... 0 0 0],2,一,1
[0 0 0 ... 0 0 0],3,二,2
[0 0 0 ... 0 0 0],4,三,3
[0 0 0 ... 0 0 0],5,四,4
[0 0 0 ... 0 0 0],6,五,5
[0 0 0 ... 0 0 0],7,六,6
[0 0 0 ... 0 0 0],8,七,7
[0 0 0 ... 0 0 0],9,八,8
[0 0 0 ... 0 0 0],1,零,0
[0 0 0 ... 0 0 0],10,九,9
[0 0 0 ... 0 0 0],11,十,10
[0 0 0 ... 0 0 0],12,百,100
[0 0 0 ... 0 0 0],13,千,1000
[0 0 0 ... 0 0 0],14,万,10000
[0 0 0 ... 0 0 0],15,亿,100000000
[0 0 0 ... 0 0 0],2,一,1
[0 0 0 ... 0 0 0],3,二,2
[0 0 0 ... 0 0 0],4,三,3
[0 0 0 ... 0 0 0],5,四,4
[0 0 0 ... 0 0 0],6,五,5
[0 0 0 ... 0 0 0],7,六,6
[0 0 0 ... 0 0 0],8,七,7
[0 0 0 ... 0 0 0],9,八,8
[0 0 0 ... 0 0 0],1,零,0
[0 0 0 ... 0 0 0],10,九,9
[0 0 0 ... 0 0 0],11,十,10
[0 0 0 ... 0 0 0],12,百,100
[0 0 0 ... 0 0 0],13,千,1000
[0 0 0 ... 0 0 0],14,万,10000
[0 0 0 ... 0 0 0],15,亿,100000000
[0 0 0 ... 0 0 0],2,一,1
[0 0 0 ... 0 0 0],3,二,2
[0 0 0 ... 0 0 0],4,三,3
[0 0 0 ... 0 0 0],5,四,4
[0 0 0 ... 0 0 0],6,五,5
[0 0 0 ... 0 0 0],7,六,6
[0 0 0 ... 0 0 0],8,七,7
[0 0 0 ... 0 0 0],9,八,8
[0 0 0 ... 0 0 0],1,零,0
[0 0 0 ... 0 0 0],10,九,9
[0 0 0 ... 0 0 0],11,十,10
[0 0 0 ... 0 0 0],12,百,100
[0 0 0 ... 0 0 0],13,千,1000
[0 0 0 ... 0 0 0],14,万,10000
[0 0 0 ... 0 0 0],15,亿,100000000
[0 0 0 ... 0 0 0],2,一,1
[0 0 0 ... 0 0 0],3,二,2
[0 0 0 ... 0 0 0],4,三,3
[0 0 0 ... 0 0 0],5,四,4
[0 0 0 ... 0 0 0],6,五,5
[0 0 0 ... 0 0 0],7,六,6
[0 0 0 ... 0 0 0],8,七,7
[0 0 0 ... 0 0 0],9,八,8
[0 0 0 ... 0 0 0],1,零,0
[0 0 0 ... 0 0 0],10,九,9
[0 0 0 ... 0 0 0],11,十,10
[0 0 0 ... 0 0 0],12,百,100
[0 0 0 ... 0 0 0],13,千,1000
[0 0 0 ... 0 0 0],14,万,10000
[0 0 0 ... 0 0 0],15,亿,100000000
[0 0 0 ... 0 0 0],2,一,1
[0 0 0 ... 0 0 0],3,二,2
[0 0 0 ... 0 0 0],4,三,3
[0 0 0 ... 0 0 0],5,四,4
[0 0 0 ... 0 0 0],6,五,5
[0 0 0 ... 0 0 0],7,六,6
[0 0 0 ... 0 0 0],8,七,7
[0 0 0 ... 0 0 0],9,八,8
[0 0 0 ... 0 0 0],1,零,0
[0 0 0 ... 0 0 0],10,九,9
[0 0 0 ... 0 0 0],11,十,10
[0 0 0 ... 0 0 0],12,百,100
[0 0 0 ... 0 0 0],13,千,1000
[0 0 0 ... 0 0 0],14,万,10000
[0 0 0 ... 0 0 0],15,亿,100000000
[0 0 0 ... 0 0 0],2,一,1
[0 0 0 ... 0 0 0],3,二,2
[0 0 0 ... 0 0 0],4,三,3
[0 0 0 ... 0 0 0],5,四,4
[0 0 0 ... 0 0 0],6,五,5
[0 0 0 ... 0 0 0],7,六,6
[0 0 0 ... 0 0 0],8,七,7
[0 0 0 ... 0 0 0],9,八,8
[0 0 0 ... 0 0 0],1,零,0
[0 0 0 ... 0 0 0],10,九,9
[0 0 0 ... 0 0 0],11,十,10
[0 0 0 ... 0 0 0],12,百,100
[0 0 0 ... 0 0 0],13,千,1000
[0 0 0 ... 0 0 0],14,万,10000
[0 0 0 ... 0 0 0],15,亿,100000000
[0 0 0 ... 0 0 0],2,一,1
[0 0 0 ... 0 0 0],3,二,2
[0 0 0 ... 0 0 0],4,三,3
[0 0 0 ... 0 0 0],5,四,4
[0 0 0 ... 0 0 0],6,五,5
[0 0 0 ... 0 0 0],7,六,6
[0 0 0 ... 0 0 0],8,七,7
[0 0 0 ... 0 0 0],9,八,8
[0 0 0 ... 0 0 0],1,零,0
[0 0 0 ... 0 0 0],10,九,9
[0 0 0 ... 0 0 0],11,十,10
[0 0 0 ... 0 0 0],12,百,100
[0 0 0 ... 0 0 0],13,千,1000
[0 0 0 ... 0 0 0],14,万,10000
[0 0 0 ... 0 0 0],15,亿,100000000
[0 0 0 ... 0 0 0],2,一,1
[0 0 0 ... 0 0 0],3,二,2
[0 0 0 ... 0 0 0],4,三,3
[0 0 0 ... 0 0 0],5,四,4
[0 0 0 ... 0 0 0],6,五,5
[0 0 0 ... 0 0 0],7,六,6
[0 0 0 ... 0 0 0],8,七,7
[0 0 0 ... 0 0 0],9,八,8
[0 0 0 ... 0 0 0],1,零,0
[0 0 0 ... 0 0 0],10,九,9
[0 0 0 ... 0 0 0],11,十,10
[0 0 0 ... 0 0 0],12,百,100
[0 0 0 ... 0 0 0],13,千,1000
[0 0 0 ... 0 0 0],14,万,10000
[0 0 0 ... 0 0 0],15,亿,100000000
[0 0 0 ... 0 0 0],2,一,1
[0 0 0 ... 0 0 0],3,二,2
[0 0 0 ... 0 0 0],4,三,3
[0 0 0 ... 0 0 0],5,四,4
[0 0 0 ... 0 0 0],6,五,5
[0 0 0 ... 0 0 0],7,六,6
[0 0 0 ... 0 0 0],8,七,7
[0 0 0 ... 0 0 0],9,八,8
[0 0 0 ... 0 0 0],1,零,0
[0 0 0 ... 0 0 0],10,九,9
[0 0 0 ... 0 0 0],11,十,10
[0 0 0 ... 0 0 0],12,百,100
[0 0 0 ... 0 0 0],13,千,1000
[0 0 0 ... 0 0 0],14,万,10000
[0 0 0 ... 0 0 0],15,亿,100000000
[0 0 0 ... 0 0 0],2,一,1
[0 0 0 ... 0 0 0],3,二,2
[0 0 0 ... 0 0 0],4,三,3
[0 0 0 ... 0 0 0],5,四,4
[0 0 0 ... 0 0 0],6,五,5
[0 0 0 ... 0 0 0],7,六,6
[0 0 0 ... 0 0 0],8,七,7
[0 0 0 ... 0 0 0],9,八,8
[0 0 0 ... 0 0 0],1,零,0
[0 0 0 ... 0 0 0],10,九,9
[0 0 0 ... 0 0 0],11,十,10
[0 0 0 ... 0 0 0],12,百,100
[0 0 0 ... 0 0 0],13,千,1000
[0 0 0 ... 0 0 0],14,万,10000
[0 0 0 ... 0 0 0],15,亿,100000000
[0 0 0 ... 0 0 0],2,一,1
[0 0 0 ... 0 0 0],3,二,2
[0 0 0 ... 0 0 0],4,三,3
[0 0 0 ... 0 0 0],5,四,4
[0 0 0 ... 0 0 0],6,五,5
[0 0 0 ... 0 0 0],7,六,6
[0 0 0 ... 0 0 0],8,七,7
[0 0 0 ... 0 0 0],9,八,8
[0 0 0 ... 0 0 0],1,零,0
[0 0 0 ... 0 0 0],10,九,9
[0 0 0 ... 0 0 0],11,十,10
[0 0 0 ... 0 0 0],12,百,100
[0 0 0 ... 0 0 0],13,千,1000
[0 0 0 ... 0 0 0],14,万,10000
[0 0 0 ... 0 0 0],15,亿,100000000
[0 0 0 ... 0 0 0],2,一,1
[0 0 0 ... 0 0 0],3,二,2
[0 0 0 ... 0 0 0],4,三,3
[0 0 0 ... 0 0 0],5,四,4
[0 0 0 ... 0 0 0],6,五,5
[0 0 0 ... 0 0 0],7,六,6
[0 0 0 ... 0 0 0],8,七,7
[0 0 0 ... 0 0 0],9,八,8
[0 0 0 ... 0 0 0],1,零,0
[0 0 0 ... 0 0 0],10,九,9
[0 0 0 ... 0 0 0],11,十,10
[0 0 0 ... 0 0 0],12,百,100
[0 0 0 ... 0 0 0],13,千,1000
[0 0 0 ... 0 0 0],14,万,10000
[0 0 0 ... 0 0 0],15,亿,100000000
[0 0 0 ... 0 0 0],2,一,1
[0 0 0 ... 0 0 0],3,二,2
[0 0 0 ... 0 0 0],4,三,3
[0 0 0 ... 0 0 0],5,四,4
[0 0 0 ... 0 0 0],6,五,5
[0 0 0 ... 0 0 0],7,六,6
[0 0 0 ... 0 0 0],8,七,7
[0 0 0 ... 0 0 0],9,八,8
[0 0 0 ... 0 0 0],1,零,0
[0 0 0 ... 0 0 0],10,九,9
[0 0 0 ... 0 0 0],11,十,10
[0 0 0 ... 0 0 0],12,百,100
[0 0 0 ... 0 0 0],13,千,1000
[0 0 0 ... 0 0 0],14,万,10000
[0 0 0 ... 0 0 0],15,亿,100000000
[0 0 0 ... 0 0 0],2,一,1
[0 0 0 ... 0 0 0],3,二,2
[0 0 0 ... 0 0 0],4,三,3
[0 0 0 ... 0 0 0],5,四,4
[0 0 0 ... 0 0 0],6,五,5
[0 0 0 ... 0 0 0],7,六,6
[0 0 0 ... 0 0 0],8,七,7
[0 0 0 ... 0 0 0],9,八,8
[0 0 0 ... 0 0 0],1,零,0
[0 0 0 ... 0 0 0],10,九,9
[0 0 0 ... 0 0 0],11,十,10
[0 0 0 ... 0 0 0],12,百,100
[0 0 0 ... 0 0 0],13,千,1000
[0 0 0 ... 0 0 0],14,万,10000
[0 0 0 ... 0 0 0],15,亿,100000000
[0 0 0 ... 0 0 0],2,一,1
[0 0 0 ... 0 0 0],3,二,2
[0 0 0 ... 0 0 0],4,三,3
[0 0 0 ... 0 0 0],5,四,4
[0 0 0 ... 0 0 0],6,五,5
[0 0 0 ... 0 0 0],7,六,6
[0 0 0 ... 0 0 0],8,七,7
[0 0 0 ... 0 0 0],9,八,8
[0 0 0 ... 0 0 0],1,零,0
[0 0 0 ... 0 0 0],10,九,9
[0 0 0 ... 0 0 0],11,十,10
[0 0 0 ... 0 0 0],12,百,100
[0 0 0 ... 0 0 0],13,千,1000
[0 0 0 ... 0 0 0],14,万,10000
[0 0 0 ... 0 0 0],15,亿,100000000
[0 0 0 ... 0 0 0],2,一,1
[0 0 0 ... 0 0 0],3,二,2
[0 0 0 ... 0 0 0],4,三,3
[0 0 0 ... 0 0 0],5,四,4
[0 0 0 ... 0 0 0],6,五,5
[0 0 0 ... 0 0 0],7,六,6
[0 0 0 ... 0 0 0],8,七,7
[0 0 0 ... 0 0 0],9,八,8
[0 0 0 ... 0 0 0],1,零,0
[0 0 0 ... 0 0 0],10,九,9
[0 0 0 ... 0 0 0],11,十,10
[0 0 0 ... 0 0 0],12,百,100
[0 0 0 ... 0 0 0],13,千,1000
[0 0 0 ... 0 0 0],14,万,10000
[0 0 0 ... 0 0 0],15,亿,100000000
[0 0 0 ... 0 0 0],2,一,1
[0 0 0 ... 0 0 0],3,二,2
[0 0 0 ... 0 0 0],4,三,3
[0 0 0 ... 0 0 0],5,四,4
[0 0 0 ... 0 0 0],6,五,5
[0 0 0 ... 0 0 0],7,六,6
[0 0 0 ... 0 0 0],8,七,7
[0 0 0 ... 0 0 0],9,八,8
[0 0 0 ... 0 0 0],1,零,0
[0 0 0 ... 0 0 0],10,九,9
[0 0 0 ... 0 0 0],11,十,10
[0 0 0 ... 0 0 0],12,百,100
[0 0 0 ... 0 0 0],13,千,1000
[0 0 0 ... 0 0 0],14,万,10000
[0 0 0 ... 0 0 0],15,亿,100000000
[0 0 0 ... 0 0 0],2,一,1
[0 0 0 ... 0 0 0],3,二,2
[0 0 0 ... 0 0 0],4,三,3
[0 0 0 ... 0 0 0],5,四,4
[0 0 0 ... 0 0 0],6,五,5
[0 0 0 ... 0 0 0],7,六,6
[0 0 0 ... 0 0 0],8,七,7
[0 0 0 ... 0 0 0],9,八,8
[0 0 0 ... 0 0 0],1,零,0
[0 0 0 ... 0 0 0],10,九,9
[0 0 0 ... 0 0 0],11,十,10
[0 0 0 ... 0 0 0],12,百,100
[0 0 0 ... 0 0 0],13,千,1000
[0 0 0 ... 0 0 0],14,万,10000
[0 0 0 ... 0 0 0],15,亿,100000000
[0 0 0 ... 0 0 0],2,一,1
[0 0 0 ... 0 0 0],3,二,2
[0 0 0 ... 0 0 0],4,三,3
[0 0 0 ... 0 0 0],5,四,4
[0 0 0 ... 0 0 0],6,五,5
[0 0 0 ... 0 0 0],7,六,6
[0 0 0 ... 0 0 0],8,七,7
[0 0 0 ... 0 0 0],9,八,8
[0 0 0 ... 0 0 0],1,零,0
[0 0 0 ... 0 0 0],10,九,9
[0 0 0 ... 0 0 0],11,十,10
[0 0 0 ... 0 0 0],12,百,100
[0 0 0 ... 0 0 0],13,千,1000
[0 0 0 ... 0 0 0],14,万,10000
[0 0 0 ... 0 0 0],15,亿,100000000
[0 0 0 ... 0 0 0],2,一,1
[0 0 0 ... 0 0 0],3,二,2
[0 0 0 ... 0 0 0],4,三,3
[0 0 0 ... 0 0 0],5,四,4
[0 0 0 ... 0 0 0],6,五,5
[0 0 0 ... 0 0 0],7,六,6
[0 0 0 ... 0 0 0],8,七,7
[0 0 0 ... 0 0 0],9,八,8
[0 0 0 ... 0 0 0],1,零,0
[0 0 0 ... 0 0 0],10,九,9
[0 0 0 ... 0 0 0],11,十,10
[0 0 0 ... 0 0 0],12,百,100
[0 0 0 ... 0 0 0],13,千,1000
[0 0 0 ... 0 0 0],14,万,10000
[0 0 0 ... 0 0 0],15,亿,100000000
[0 0 0 ... 0 0 0],2,一,1
[0 0 0 ... 0 0 0],3,二,2
[0 0 0 ... 0 0 0],4,三,3
[0 0 0 ... 0 0 0],5,四,4
[0 0 0 ... 0 0 0],6,五,5
[0 0 0 ... 0 0 0],7,六,6
[0 0 0 ... 0 0 0],8,七,7
[0 0 0 ... 0 0 0],9,八,8
[0 0 0 ... 0 0 0],1,零,0
[0 0 0 ... 0 0 0],10,九,9
[0 0 0 ... 0 0 0],11,十,10
[0 0 0 ... 0 0 0],12,百,100
[0 0 0 ... 0 0 0],13,千,1000
[0 0 0 ... 0 0 0],14,万,10000
[0 0 0 ... 0 0 0],15,亿,100000000
[0 0 0 ... 0 0 0],2,一,1
[0 0 0 ... 0 0 0],3,二,2
[0 0 0 ... 0 0 0],4,三,3
[0 0 0 ... 0 0 0],5,四,4
[0 0 0 ... 0 0 0],6,五,5
[0 0 0 ... 0 0 0],7,六,6
[0 0 0 ... 0 0 0],8,七,7
[0 0 0 ... 0 0 0],9,八,8
[0 0 0 ... 0 0 0],1,零,0
[0 0 0 ... 0 0 0],10,九,9
[0 0 0 ... 0 0 0],11,十,10
[0 0 0 ... 0 0 0],12,百,100
[0 0 0 ... 0 0 0],13,千,1000
[0 0 0 ... 0 0 0],14,万,10000
[0 0 0 ... 0 0 0],15,亿,100000000
[0 0 0 ... 0 0 0],2,一,1
[0 0 0 ... 0 0 0],3,二,2
[0 0 0 ... 0 0 0],4,三,3
[0 0 0 ... 0 0 0],5,四,4
[0 0 0 ... 0 0 0],6,五,5
[0 0 0 ... 0 0 0],7,六,6
[0 0 0 ... 0 0 0],8,七,7
[0 0 0 ... 0 0 0],9,八,8
[0 0 0 ... 0 0 0],1,零,0
[0 0 0 ... 0 0 0],10,九,9
[0 0 0 ... 0 0 0],11,十,10
[0 0 0 ... 0 0 0],12,百,100
[0 0 0 ... 0 0 0],13,千,1000
[0 0 0 ... 0 0 0],14,万,10000
[0 0 0 ... 0 0 0],15,亿,100000000
[0 0 0 ... 0 0 0],2,一,1
[0 0 0 ... 0 0 0],3,二,2
[0 0 0 ... 0 0 0],4,三,3
[0 0 0 ... 0 0 0],5,四,4
[0 0 0 ... 0 0 0],6,五,5
[0 0 0 ... 0 0 0],7,六,6
[0 0 0 ... 0 0 0],8,七,7
[0 0 0 ... 0 0 0],9,八,8
[0 0 0 ... 0 0 0],1,零,0
[0 0 0 ... 0 0 0],10,九,9
[0 0 0 ... 0 0 0],11,十,10
[0 0 0 ... 0 0 0],12,百,100
[0 0 0 ... 0 0 0],13,千,1000
[0 0 0 ... 0 0 0],14,万,10000
[0 0 0 ... 0 0 0],15,亿,100000000
[0 0 0 ... 0 0 0],2,一,1
[0 0 0 ... 0 0 0],3,二,2
[0 0 0 ... 0 0 0],4,三,3
[0 0 0 ... 0 0 0],5,四,4
[0 0 0 ... 0 0 0],6,五,5
[0 0 0 ... 0 0 0],7,六,6
[0 0 0 ... 0 0 0],8,七,7
[0 0 0 ... 0 0 0],9,八,8
[0 0 0 ... 0 0 0],1,零,0
[0 0 0 ... 0 0 0],10,九,9
[0 0 0 ... 0 0 0],11,十,10
[0 0 0 ... 0 0 0],12,百,100
[0 0 0 ... 0 0 0],13,千,1000
[0 0 0 ... 0 0 0],14,万,10000
[0 0 0 ... 0 0 0],15,亿,100000000
[0 0 0 ... 0 0 0],2,一,1
[0 0 0 ... 0 0 0],3,二,2
[0 0 0 ... 0 0 0],4,三,3
[0 0 0 ... 0 0 0],5,四,4
[0 0 0 ... 0 0 0],6,五,5
[0 0 0 ... 0 0 0],7,六,6
[0 0 0 ... 0 0 0],8,七,7
[0 0 0 ... 0 0 0],9,八,8
[0 0 0 ... 0 0 0],1,零,0
[0 0 0 ... 0 0 0],10,九,9
[0 0 0 ... 0 0 0],11,十,10
[0 0 0 ... 0 0 0],12,百,100
[0 0 0 ... 0 0 0],13,千,1000
[0 0 0 ... 0 0 0],14,万,10000
[0 0 0 ... 0 0 0],15,亿,100000000
[0 0 0 ... 0 0 0],2,一,1
[0 0 0 ... 0 0 0],3,二,2
[0 0 0 ... 0 0 0],4,三,3
[0 0 0 ... 0 0 0],5,四,4
[0 0 0 ... 0 0 0],6,五,5
[0 0 0 ... 0 0 0],7,六,6
[0 0 0 ... 0 0 0],8,七,7
[0 0 0 ... 0 0 0],9,八,8
[0 0 0 ... 0 0 0],1,零,0
[0 0 0 ... 0 0 0],10,九,9
[0 0 0 ... 0 0 0],11,十,10
[0 0 0 ... 0 0 0],12,百,100
[0 0 0 ... 0 0 0],13,千,1000
[0 0 0 ... 0 0 0],14,万,10000
[0 0 0 ... 0 0 0],15,亿,100000000
[0 0 0 ... 0 0 0],2,一,1
[0 0 0 ... 0 0 0],3,二,2
[0 0 0 ... 0 0 0],4,三,3
[0 0 0 ... 0 0 0],5,四,4
[0 0 0 ... 0 0 0],6,五,5
[0 0 0 ... 0 0 0],7,六,6
[0 0 0 ... 0 0 0],8,七,7
[0 0 0 ... 0 0 0],9,八,8
[0 0 0 ... 0 0 0],1,零,0
[0 0 0 ... 0 0 0],10,九,9
[0 0 0 ... 0 0 0],11,十,10
[0 0 0 ... 0 0 0],12,百,100
[0 0 0 ... 0 0 0],13,千,1000
[0 0 0 ... 0 0 0],14,万,10000
[0 0 0 ... 0 0 0],15,亿,100000000
[0 0 0 ... 0 0 0],2,一,1
[0 0 0 ... 0 0 0],3,二,2
[0 0 0 ... 0 0 0],4,三,3
[0 0 0 ... 0 0 0],5,四,4
[0 0 0 ... 0 0 0],6,五,5
[0 0 0 ... 0 0 0],7,六,6
[0 0 0 ... 0 0 0],8,七,7
[0 0 0 ... 0 0 0],9,八,8
[0 0 0 ... 0 0 0],1,零,0
[0 0 0 ... 0 0 0],10,九,9
[0 0 0 ... 0 0 0],11,十,10
[0 0 0 ... 0 0 0],12,百,100
[0 0 0 ... 0 0 0],13,千,1000
[0 0 0 ... 0 0 0],14,万,10000
[0 0 0 ... 0 0 0],15,亿,100000000
[0 0 0 ... 0 0 0],2,一,1
[0 0 0 ... 0 0 0],3,二,2
[0 0 0 ... 0 0 0],4,三,3
[0 0 0 ... 0 0 0],5,四,4
[0 0 0 ... 0 0 0],6,五,5
[0 0 0 ... 0 0 0],7,六,6
[0 0 0 ... 0 0 0],8,七,7
[0 0 0 ... 0 0 0],9,八,8
[0 0 0 ... 0 0 0],1,零,0
[0 0 0 ... 0 0 0],10,九,9
[0 0 0 ... 0 0 0],11,十,10
[0 0 0 ... 0 0 0],12,百,100
[0 0 0 ... 0 0 0],13,千,1000
[0 0 0 ... 0 0 0],14,万,10000
[0 0 0 ... 0 0 0],15,亿,100000000
[0 0 0 ... 0 0 0],2,一,1
[0 0 0 ... 0 0 0],3,二,2
[0 0 0 ... 0 0 0],4,三,3
[0 0 0 ... 0 0 0],5,四,4
[0 0 0 ... 0 0 0],6,五,5
[0 0 0 ... 0 0 0],7,六,6
[0 0 0 ... 0 0 0],8,七,7
[0 0 0 ... 0 0 0],9,八,8
[0 0 0 ... 0 0 0],1,零,0
[0 0 0 ... 0 0 0],10,九,9
[0 0 0 ... 0 0 0],11,十,10
[0 0 0 ... 0 0 0],12,百,100
[0 0 0 ... 0 0 0],13,千,1000
[0 0 0 ... 0 0 0],14,万,10000
[0 0 0 ... 0 0 0],15,亿,100000000
[0 0 0 ... 0 0 0],2,一,1
[0 0 0 ... 0 0 0],3,二,2
[0 0 0 ... 0 0 0],4,三,3
[0 0 0 ... 0 0 0],5,四,4
[0 0 0 ... 0 0 0],6,五,5
[0 0 0 ... 0 0 0],7,六,6
[0 0 0 ... 0 0 0],8,七,7
[0 0 0 ... 0 0 0],9,八,8
[0 0 0 ... 0 0 0],1,零,0
[0 0 0 ... 0 0 0],10,九,9
[0 0 0 ... 0 0 0],11,十,10
[0 0 0 ... 0 0 0],12,百,100
[0 0 0 ... 0 0 0],13,千,1000
[0 0 0 ... 0 0 0],14,万,10000
[0 0 0 ... 0 0 0],15,亿,100000000
[0 0 0 ... 0 0 0],2,一,1
[0 0 0 ... 0 0 0],3,二,2
[0 0 0 ... 0 0 0],4,三,3
[0 0 0 ... 0 0 0],5,四,4
[0 0 0 ... 0 0 0],6,五,5
[0 0 0 ... 0 0 0],7,六,6
[0 0 0 ... 0 0 0],8,七,7
[0 0 0 ... 0 0 0],9,八,8
[0 0 0 ... 0 0 0],1,零,0
[0 0 0 ... 0 0 0],10,九,9
[0 0 0 ... 0 0 0],11,十,10
[0 0 0 ... 0 0 0],12,百,100
[0 0 0 ... 0 0 0],13,千,1000
[0 0 0 ... 0 0 0],14,万,10000
[0 0 0 ... 0 0 0],15,亿,100000000
[0 0 0 ... 0 0 0],2,一,1
[0 0 0 ... 0 0 0],3,二,2
[0 0 0 ... 0 0 0],4,三,3
[0 0 0 ... 0 0 0],5,四,4
[0 0 0 ... 0 0 0],6,五,5
[0 0 0 ... 0 0 0],7,六,6
[0 0 0 ... 0 0 0],8,七,7
[0 0 0 ... 0 0 0],9,八,8
[0 0 0 ... 0 0 0],1,零,0
[0 0 0 ... 0 0 0],10,九,9
[0 0 0 ... 0 0 0],11,十,10
[0 0 0 ... 0 0 0],12,百,100
[0 0 0 ... 0 0 0],13,千,1000
[0 0 0 ... 0 0 0],14,万,10000
[0 0 0 ... 0 0 0],15,亿,100000000
[0 0 0 ... 0 0 0],2,一,1
[0 0 0 ... 0 0 0],3,二,2
[0 0 0 ... 0 0 0],4,三,3
[0 0 0 ... 0 0 0],5,四,4
[0 0 0 ... 0 0 0],6,五,5
[0 0 0 ... 0 0 0],7,六,6
[0 0 0 ... 0 0 0],8,七,7
[0 0 0 ... 0 0 0],9,八,8
[0 0 0 ... 0 0 0],1,零,0
[0 0 0 ... 0 0 0],10,九,9
[0 0 0 ... 0 0 0],11,十,10
[0 0 0 ... 0 0 0],12,百,100
[0 0 0 ... 0 0 0],13,千,1000
[0 0 0 ... 0 0 0],14,万,10000
[0 0 0 ... 0 0 0],15,亿,100000000
[0 0 0 ... 0 0 0],2,一,1
[0 0 0 ... 0 0 0],3,二,2
[0 0 0 ... 0 0 0],4,三,3
[0 0 0 ... 0 0 0],5,四,4
[0 0 0 ... 0 0 0],6,五,5
[0 0 0 ... 0 0 0],7,六,6
[0 0 0 ... 0 0 0],8,七,7
[0 0 0 ... 0 0 0],9,八,8
[0 0 0 ... 0 0 0],1,零,0
[0 0 0 ... 0 0 0],10,九,9
[0 0 0 ... 0 0 0],11,十,10
[0 0 0 ... 0 0 0],12,百,100
[0 0 0 ... 0 0 0],13,千,1000
[0 0 0 ... 0 0 0],14,万,10000
[0 0 0 ... 0 0 0],15,亿,100000000
[0 0 0 ... 0 0 0],2,一,1
[0 0 0 ... 0 0 0],3,二,2
[0 0 0 ... 0 0 0],4,三,3
[0 0 0 ... 0 0 0],5,四,4
[0 0 0 ... 0 0 0],6,五,5
[0 0 0 ... 0 0 0],7,六,6
[0 0 0 ... 0 0 0],8,七,7
[0 0 0 ... 0 0 0],9,八,8
[0 0 0 ... 0 0 0],1,零,0
[0 0 0 ... 0 0 0],10,九,9
[0 0 0 ... 0 0 0],11,十,10
[0 0 0 ... 0 0 0],12,百,100
[0 0 0 ... 0 0 0],13,千,1000
[0 0 0 ... 0 0 0],14,万,10000
[0 0 0 ... 0 0 0],15,亿,100000000
[0 0 0 ... 0 0 0],2,一,1
[0 0 0 ... 0 0 0],3,二,2
[0 0 0 ... 0 0 0],4,三,3
[0 0 0 ... 0 0 0],5,四,4
[0 0 0 ... 0 0 0],6,五,5
[0 0 0 ... 0 0 0],7,六,6
[0 0 0 ... 0 0 0],8,七,7
[0 0 0 ... 0 0 0],9,八,8
[0 0 0 ... 0 0 0],1,零,0
[0 0 0 ... 0 0 0],10,九,9
[0 0 0 ... 0 0 0],11,十,10
[0 0 0 ... 0 0 0],12,百,100
[0 0 0 ... 0 0 0],13,千,1000
[0 0 0 ... 0 0 0],14,万,10000
[0 0 0 ... 0 0 0],15,亿,100000000
[0 0 0 ... 0 0 0],2,一,1
[0 0 0 ... 0 0 0],3,二,2
[0 0 0 ... 0 0 0],4,三,3
[0 0 0 ... 0 0 0],5,四,4
[0 0 0 ... 0 0 0],6,五,5
